"lemma","originalCandidate","pos","candidateLevel","article","sourceCourses","courseUnits","firstChapter","sourceInflections","officialForms","officialPOS","officialHeadwordFound","zh","exampleNb","exampleZh","resolution"
"utslett","utslett","名词","","et","NTNU LearnNoW","10A","10","utslettet, utslett, utslettene","utslett · utsletta · utslettene · utslettet","NOUN","True","","","","Ordbank 词头匹配"
"vare","vare","动词","","å","NTNU LearnNoW","10C","10","varer, varte, har vart","var · vara · vare · varen · varende · varene · varer · vares · vart · varte","VERB","True","","","","Ordbank 词头匹配"
"varmegrad","varmegrad","名词","","en","NTNU LearnNoW","10A","10","varmegraden, varmegrader, varmegradene","varmegrad · varmegraden · varmegradene · varmegrader","NOUN","True","","","","Ordbank 词头匹配"
"videre","videre","形容词","","","NTNU LearnNoW","10B","10","","videre","ADJ","True","","","","Ordbank 词头匹配"
"virkelig","virkelig","副词","","","NTNU LearnNoW","10B","10","","virkelig · virkelige · virkeligere · virkeligst · virkeligste","ADJ","True","","","","Ordbank 词头匹配"
"alder","alder","名词","","en","NTNU LearnNoW","11D","11","alderen, aldre, aldrene","alder · aldere · alderen · alderne · aldre · aldrene · aldrer","NOUN","True","","","","Ordbank 词头匹配"
"all","all","限定词","","","NTNU LearnNoW","11D","11","","all · alle · alt","DET","True","","","","Ordbank 词头匹配"
"årstid","årstid","名词","","ei","NTNU LearnNoW","11B","11","årstida, årstider, årstidene","årstid · årstida · årstiden · årstidene · årstider","NOUN","True","","","","Ordbank 词头匹配"
"begeistret","begeistret","形容词","","","NTNU LearnNoW","11A","11","begeistret, begeistrede","begeistrede · begeistret · begeistrete","ADJ","True","","","","Ordbank 词头匹配"
"bitte","bitte","副词","","","NTNU LearnNoW","11B","11","","bitte","ADV","True","","","","Ordbank 词头匹配"
"bratt","bratt","形容词","","","NTNU LearnNoW","11B","11","bratt, bratte","bratt · bratte · brattere · brattest · bratteste","ADJ","True","","","","Ordbank 词头匹配"
"bryllup","bryllup","名词","","et","NTNU LearnNoW","11C","11","bryllupet, brylluper, bryllupene","bryllup · bryllupa · bryllupene · brylluper · bryllupet","NOUN","True","","","","Ordbank 词头匹配"
"dikt","dikt","名词","","et","NTNU LearnNoW","11B","11","diktet, dikt, diktene","dikt · dikta · diktene · diktet","NOUN","True","","","","Ordbank 词头匹配"
"dokke","dokke","名词","","ei","NTNU LearnNoW","11A","11","dokka, dokker, dokkene","dokk · dokka · dokke · dokkede · dokken · dokkende · dokkene · dokker · dokkes · dokket · dokkete","NOUN","True","","","","Ordbank 词头匹配"
"dokketeater","dokketeater","名词","","et","NTNU LearnNoW","11A","11","dokketeateret, dokketeatre, dokketeatrene","dokketeater · dokketeatera · dokketeateret · dokketeatre · dokketeatrene","NOUN","True","","","","Ordbank 词头匹配"
"ekte","ekte","形容词","","","NTNU LearnNoW","11B","11","ekte, ekte","ekt · ekta · ekte · ektede · ektende · ekter · ektere · ektes · ektest · ekteste · ektet · ektete","ADJ","True","","","","Ordbank 词头匹配"
"ektepar","ektepar","名词","","et","NTNU LearnNoW","11A","11","ekteparet, ektepar, ekteparene","ektepar · ektepara · ekteparene · ekteparet","NOUN","True","","","","Ordbank 词头匹配"
"endelig","endelig","副词","","","NTNU LearnNoW","11B","11","","endelig · endelige","ADJ","True","","","","Ordbank 词头匹配"
"eventyr","eventyr","名词","","et","NTNU LearnNoW","11A","11","eventyret, eventyr, eventyrene","eventyr · eventyra · eventyrene · eventyret","NOUN","True","","","","Ordbank 词头匹配"
"eventyrteater","eventyrteater","名词","","et","NTNU LearnNoW","11A","11","eventyrteateret, eventyrteatre, eventyrteatrene","","","False","","","","存在多个可能词头；需人工消歧"
"faktisk","faktisk","副词","","","NTNU LearnNoW","11C","11","","faktisk · faktiske","ADJ","True","","","","Ordbank 词头匹配"
"fan","fan","名词","","en","NTNU LearnNoW","11D","11","fansen, fans, fansene","fan · fanen · fanene · fans","NOUN","True","","","","Ordbank 词头匹配"
"fantastisk","fantastisk","形容词","","","NTNU LearnNoW","11C","11","fantastisk, fantastiske","fantastisk · fantastiske","ADJ","True","","","","Ordbank 词头匹配"
"fiskelykke","fiskelykke","名词","","en","NTNU LearnNoW","11B","11","fiskelykken, fiskelykker, fiskelykkene","fiskelykka · fiskelykke · fiskelykken · fiskelykkene · fiskelykker","NOUN","True","","","","Ordbank 词头匹配"
"fiskestang","fiskestang","名词","","ei","NTNU LearnNoW","11B","11","fiskestanga, fiskestanger, fiskestangene","fiskestang · fiskestanga · fiskestangen · fiskestengene · fiskestenger","NOUN","True","","","","Ordbank 词头匹配"
"fjell","fjell","名词","","et","NTNU LearnNoW","11B","11","fjellet, fjell, fjellene","fjell · fjella · fjellene · fjellet","NOUN","True","","","","Ordbank 词头匹配"
"flyplass","flyplass","名词","","en","NTNU LearnNoW","11D","11","flyplassen, flyplasser, flyplassene","flyplass · flyplassen · flyplassene · flyplasser","NOUN","True","","","","Ordbank 词头匹配"
"folk","folk","名词","","et","NTNU LearnNoW","11A","11","folket, folk, folkene","folk · folka · folkene · folket","NOUN","True","","","","Ordbank 词头匹配"
"forestilling","forestilling","名词","","en","NTNU LearnNoW","11A","11","forestillingen, forestillinger, forestillingene","forestilling · forestillinga · forestillingen · forestillingene · forestillinger","NOUN","True","","","","Ordbank 词头匹配"
"galleri","galleri","名词","","et","NTNU LearnNoW","11C","11","galleriet, gallerier, galleriene","galleri · galleria · galleriene · gallerier · galleriet","NOUN","True","","","","Ordbank 词头匹配"
"gammeldags","gammeldags","形容词","","","NTNU LearnNoW","11B","11","gammeldags, gammeldagse","gammeldags · gammeldagse","ADJ","True","","","","Ordbank 词头匹配"
"gratis","gratis","形容词","","","NTNU LearnNoW","11D","11","gratis, gratis","gratis","ADJ","True","","","","Ordbank 词头匹配"
"hjelpsom","hjelpsom","形容词","","","NTNU LearnNoW","11A","11","hjelpsomt, hjelpsome","hjelpsom · hjelpsomme · hjelpsommere · hjelpsomst · hjelpsomste · hjelpsomt","ADJ","True","","","","Ordbank 词头匹配"
"hjemover","hjemover","副词","","","NTNU LearnNoW","11D","11","","hjemover","ADV","True","","","","Ordbank 词头匹配"
"hull","hull","名词","","et","NTNU LearnNoW","11B","11","hullet, hull, hullene","hull · hulla · hulle · hullene · huller · hullet · hult","NOUN","True","","","","Ordbank 词头匹配"
"hyle","hyle","动词","","å","NTNU LearnNoW","11D","11","hyler, hylte, har hylt","hyl · hyle · hylende · hyler · hyles · hylt · hylte","VERB","True","","","","Ordbank 词头匹配"
"hyling","hyling","名词","","en","NTNU LearnNoW","11D","11","hylingen, hylinger, hylingene","hyling · hylinga · hylingen · hylingene · hylinger","NOUN","True","","","","Ordbank 词头匹配"
"hyttetradisjon","hyttetradisjon","名词","","en","NTNU LearnNoW","11B","11","hyttetradisjonen, hyttetradisjoner, hyttetradisjonene","","","False","","","","存在多个可能词头；需人工消歧"
"innover","innover","介词","","","NTNU LearnNoW","11B","11","","innover","ADP","True","","","","Ordbank 词头匹配"
"invitasjon","invitasjon","名词","","en","NTNU LearnNoW","11C","11","invitasjonen, invitasjoner, invitasjonene","invitasjon · invitasjonen · invitasjonene · invitasjoner","NOUN","True","","","","Ordbank 词头匹配"
"kaos","kaos","名词","","et","NTNU LearnNoW","11D","11","kaoset","kaos · kaosa · kaosene · kaoser · kaoset","NOUN","True","","","","Ordbank 词头匹配"
"kjempebra","kjempebra","形容词","","","NTNU LearnNoW","11D","11","kjempebra, kjempebra","kjempebra","ADJ","True","","","","Ordbank 词头匹配"
"kjølig","kjølig","形容词","","","NTNU LearnNoW","11B","11","kjølig, kjølige","kjølig · kjølige · kjøligere · kjøligst · kjøligste","ADJ","True","","","","Ordbank 词头匹配"
"kor","kor","名词","","et","NTNU LearnNoW","11C","11","koret, kor, korene","kor · kora · korene · koret","NOUN","True","","","","Ordbank 词头匹配"
"kultur","kultur","名词","","en","NTNU LearnNoW","11C","11","kulturen, kulturer, kulturene","kultur · kulturen · kulturene · kulturer","NOUN","True","","","","Ordbank 词头匹配"
"kunst","kunst","名词","","en","NTNU LearnNoW","11C","11","kunsten, kunster, kunstene","kunst · kunsten · kunstene · kunster","NOUN","True","","","","Ordbank 词头匹配"
"larm","larm","名词","","en","NTNU LearnNoW","11B","11","larmen","larm · larmen · larmene · larmer","NOUN","True","","","","Ordbank 词头匹配"
"ligne","ligne","动词","","å","NTNU LearnNoW","11D","11","ligner, lignet, har lignet","lign · ligna · ligne · lignede · lignende · ligner · lignes · lignet · lignete","VERB","True","","","","Ordbank 词头匹配"
"liv","liv","名词","","et","NTNU LearnNoW","11B","11","livet, liv, livene","liv · liva · livene · livet","NOUN","True","","","","Ordbank 词头匹配"
"love","love","动词","","å","NTNU LearnNoW","11D","11","lover, lovte, har lovt","lov · lova · lovd · lovde · love · lovede · loven · lovende · lovene · lover · loves · lovet · lovete · lovt · lovte","VERB","True","","","","Ordbank 词头匹配"
"lukte","lukte","动词","","å","NTNU LearnNoW","11B","11","lukter, luktet, har luktet","lukt · lukta · lukte · luktede · luktende · lukter · luktes · luktet · luktete","VERB","True","","","","Ordbank 词头匹配"
"lykke","lykke","名词","","en","NTNU LearnNoW","11D","11","lykken, lykker, lykkene","lykka · lykke · lykken · lykkene · lykker","NOUN","True","","","","Ordbank 词头匹配"
"maleri","maleri","名词","","et","NTNU LearnNoW","11C","11","maleriet, malerier, maleriene","maleri · maleria · maleriene · malerier · maleriet","NOUN","True","","","","Ordbank 词头匹配"
"melding","melding","名词","","ei","NTNU LearnNoW","11D","11","meldinga, meldinger, meldingene","melding · meldinga · meldingen · meldingene · meldinger","NOUN","True","","","","Ordbank 词头匹配"
"mindre","mindre","形容词","","","NTNU LearnNoW","11A","11","","mindre","ADJ","True","","","","Ordbank 词头匹配"
"miste","miste","动词","","å","NTNU LearnNoW","11A","11","mister, mistet, har mistet","mist · mista · miste · mistede · mistende · mister · mistes · mistet · mistete","VERB","True","","","","Ordbank 词头匹配"
"nasjonalgalleri","nasjonalgalleri","名词","","et","NTNU LearnNoW","11C","11","nasjonalgalleriet, nasjonalgallerier, nasjonalgalleriene","nasjonalgalleri · nasjonalgalleria · nasjonalgalleriene · nasjonalgallerier · nasjonalgalleriet","NOUN","True","","","","Ordbank 词头匹配"
"natur","natur","名词","","en","NTNU LearnNoW","11B","11","naturen, naturer, naturene","natur · naturen · naturene · naturer","NOUN","True","","","","Ordbank 词头匹配"
"nede","nede","副词","","","NTNU LearnNoW","11B","11","","nede","ADV","True","","","","Ordbank 词头匹配"
"nordmann","nordmann","名词","","en","NTNU LearnNoW","11B","11","nordmannen, nordmenn, nordmennene","nordmann · nordmannen · nordmenn · nordmennene","NOUN","True","","","","Ordbank 词头匹配"
"opera","opera","名词","","en","NTNU LearnNoW","11C","11","operaen, operaer, operaene","opera · operaen · operaene · operaer","NOUN","True","","","","Ordbank 词头匹配"
"oppleve","oppleve","动词","","å","NTNU LearnNoW","11C","11","opplever, opplevde, har opplevd","opplev · opplevd · opplevde · oppleve · opplevende · opplever · oppleves","VERB","True","","","","Ordbank 词头匹配"
"ordentlig","ordentlig","形容词","","","NTNU LearnNoW","11A","11","ordentlig, ordentlige","ordentlig · ordentlige · ordentligere · ordentligst · ordentligste","ADJ","True","","","","Ordbank 词头匹配"
"ørret","ørret","名词","","en","NTNU LearnNoW","11B","11","ørreten, ørreter, ørretene","ørret · ørreten · ørretene · ørreter","NOUN","True","","","","Ordbank 词头匹配"
"overnatte","overnatte","动词","","å","NTNU LearnNoW","11D","11","overnatter, overnattet, har overnattet","overnatt · overnatta · overnatte · overnattede · overnattende · overnatter · overnattes · overnattet · overnattete","VERB","True","","","","Ordbank 词头匹配"
"politi","politi","名词","","et","NTNU LearnNoW","11D","11","politiet","politi · politia · politien · politiene · politier · politiet","NOUN","True","","","","Ordbank 词头匹配"
"ramme","ramme","名词","","ei","NTNU LearnNoW","11B","11","ramma, rammer, rammene","ram · ramma · ramme · rammede · rammen · rammende · rammene · rammer · rammes · rammet · rammete","NOUN","True","","","","Ordbank 词头匹配"
"ring","ring","名词","","en","NTNU LearnNoW","11A","11","ringen, ringer, ringene","ring · ringa · ringe · ringen · ringene · ringer · ringere · ringest · ringeste · ringet · ringt","NOUN","True","","","","Ordbank 词头匹配"
"romantiker","romantiker","名词","","en","NTNU LearnNoW","11B","11","romantikeren, romantikere, romantikerne","romantiker · romantikere · romantikeren · romantikerne","NOUN","True","","","","Ordbank 词头匹配"
"rotete","rotete","形容词","","","NTNU LearnNoW","11A","11","rotete, rotete","rotete","ADJ","True","","","","Ordbank 词头匹配"
"rusle","rusle","动词","","å","NTNU LearnNoW","11B","11","rusler, ruslet, har ruslet","rusl · rusla · rusle · ruslede · ruslende · rusler · rusles · ruslet · ruslete","VERB","True","","","","Ordbank 词头匹配"
"rydde","rydde","动词","","å","NTNU LearnNoW","11A","11","rydder, ryddet, har ryddet","rydd · rydda · rydde · ryddede · ryddende · rydder · ryddes · ryddet · ryddete","VERB","True","","","","Ordbank 词头匹配"
"ryddig","ryddig","形容词","","","NTNU LearnNoW","11A","11","ryddig, ryddige","ryddig · ryddige · ryddigere · ryddigst · ryddigste","ADJ","True","","","","Ordbank 词头匹配"
"ryggsekk","ryggsekk","名词","","en","NTNU LearnNoW","11B","11","ryggsekken, ryggsekker, ryggsekkene","ryggsekk · ryggsekken · ryggsekkene · ryggsekker","NOUN","True","","","","Ordbank 词头匹配"
"rykte","rykte","名词","","et","NTNU LearnNoW","11D","11","ryktet, rykter, ryktene","rykta · rykte · ryktene · rykter · ryktet","NOUN","True","","","","Ordbank 词头匹配"
"samlet","samlet","形容词","","","NTNU LearnNoW","11D","11","samlet, samlede","","","False","","","","存在多个可能词头；需人工消歧"
"sang","sang","名词","","en","NTNU LearnNoW","11C","11","sangen, sanger, sangene","sang · sangen · sangene · sanger","NOUN","True","","","","Ordbank 词头匹配"
"scene","scene","名词","","en","NTNU LearnNoW","11D","11","scenen, scener, scenene","scene · scenen · scenene · scener","NOUN","True","","","","Ordbank 词头匹配"
"show","show","名词","","et","NTNU LearnNoW","11D","11","showet, show, showene","show · showa · showene · showet","NOUN","True","","","","Ordbank 词头匹配"
"si","si","动词","","","NTNU LearnNoW","11B","11","sin, si, sitt, sine","sa · sagt · sagte · si · sien · siende · siene · sier · sies","VERB; ABBR; SYM; NOUN","True","","","","Ordbank 词头匹配"
"sjekke","sjekke","动词","","å","NTNU LearnNoW","11D","11","sjekker, sjekket, har sjekket","sjekk · sjekka · sjekke · sjekkede · sjekkende · sjekker · sjekkes · sjekket · sjekkete","VERB","True","","","","Ordbank 词头匹配"
"skitten","skitten","形容词","","","NTNU LearnNoW","11A","11","skittent, skitne","skitne · skitnere · skitnest · skitneste · skitten · skittent","ADJ","True","","","","Ordbank 词头匹配"
"skje","skje","动词","","å","NTNU LearnNoW","11D","11","skjer, skjedde, har skjedd","skje · skjea · skjedd · skjedde · skjeen · skjeende · skjeene · skjeer · skjer · skjes","VERB","True","","","","Ordbank 词头匹配"
"skjønnhet","skjønnhet","名词","","en","NTNU LearnNoW","11B","11","skjønnheten, skjønnheter, skjønnhetene","skjønnhet · skjønnheta · skjønnheten · skjønnhetene · skjønnheter","NOUN","True","","","","Ordbank 词头匹配"
"skomaker","skomaker","名词","","en","NTNU LearnNoW","11A","11","skomakeren, skomakere, skomakerne","skomaker · skomakere · skomakeren · skomakerne","NOUN","True","","","","Ordbank 词头匹配"
"skulke","skulke","动词","","å","NTNU LearnNoW","11D","11","skulker, skulket, har skulket","skulk · skulka · skulke · skulkede · skulkende · skulker · skulkes · skulket · skulkete","VERB","True","","","","Ordbank 词头匹配"
"sliten","sliten","形容词","","","NTNU LearnNoW","11B","11","slitent, slitne","sliten · slitent · slitne","ADJ","True","","","","Ordbank 词头匹配"
"slutt","slutt","名词","","en","NTNU LearnNoW","11A","11","slutten, slutter, sluttene","slutt · slutten · sluttene · slutter","NOUN","True","","","","Ordbank 词头匹配"
"sti","sti","名词","","en","NTNU LearnNoW","11B","11","stien, stier, stiene","sti · stia · stien · stiene · stier · stiet","NOUN","True","","","","Ordbank 词头匹配"
"storby","storby","名词","","en","NTNU LearnNoW","11B","11","storbyen, storbyer, storbyene","storby · storbyen · storbyene · storbyer","NOUN","True","","","","Ordbank 词头匹配"
"strøm","strøm","名词","","en","NTNU LearnNoW","11B","11","strømmen, strømmer, strømmene","strøm · strømmen · strømmene · strømmer","NOUN","True","","","","Ordbank 词头匹配"
"synd","synd","名词","","ei","NTNU LearnNoW","11A","11","synda, synder, syndene","synd · synda · synden · syndene · synder","NOUN","True","","","","Ordbank 词头匹配"
"tak","tak","名词","","et","NTNU LearnNoW","11D","11","taket, tak, takene","tak · taka · takene · taket","NOUN","True","","","","Ordbank 词头匹配"
"tankefull","tankefull","形容词","","","NTNU LearnNoW","11A","11","tankefullt, tankefulle","tankefull · tankefulle · tankefullt","ADJ","True","","","","Ordbank 词头匹配"
"tåre","tåre","名词","","en","NTNU LearnNoW","11D","11","tåren, tårer, tårene","tåra · tåre · tåren · tårene · tårer","NOUN","True","","","","Ordbank 词头匹配"
"teater","teater","名词","","et","NTNU LearnNoW","11C","11","teateret, teatre, teatrene","teater · teatera · teateret · teatre · teatrene","NOUN","True","","","","Ordbank 词头匹配"
"teaterforestilling","teaterforestilling","名词","","en","NTNU LearnNoW","11A","11","teaterforestillingen, teaterforestillinger, teaterforestillingene","teaterforestilling · teaterforestillinga · teaterforestillingen · teaterforestillingene · teaterforestillinger","NOUN","True","","","","Ordbank 词头匹配"
"tenåring","tenåring","名词","","en","NTNU LearnNoW","11C","11","tenåringen, tenåringer, tenåringene","tenåring · tenåringen · tenåringene · tenåringer","NOUN","True","","","","Ordbank 词头匹配"
"tenåringsjente","tenåringsjente","名词","","ei","NTNU LearnNoW","11D","11","tenåringsjenta, tenåringsjenter, tenåringsjentene","tenåringsjenta · tenåringsjente · tenåringsjenten · tenåringsjentene · tenåringsjenter","NOUN","True","","","","Ordbank 词头匹配"
"toalett","toalett","名词","","et","NTNU LearnNoW","11B","11","toalettet, toaletter, toalettene","toalett · toaletta · toalettene · toaletter · toalettet","NOUN","True","","","","Ordbank 词头匹配"
"total","totalt","形容词","","","NTNU LearnNoW","11D","11","","totalt","ADJ","True","","","","按 Ordbank 屈折形式归回词头"
"usikker","usikker","形容词","","","NTNU LearnNoW","11D","11","usikkert, usikre","usikker · usikkert · usikre · usikrere · usikrest · usikreste","ADJ","True","","","","Ordbank 词头匹配"
"utedo","utedo","名词","","en","NTNU LearnNoW","11B","11","utedoen, utedoer, utedoene","utedo · utedoa · utedoen · utedoene · utedoer · utedoet","NOUN","True","","","","Ordbank 词头匹配"
"utsikt","utsikt","名词","","en","NTNU LearnNoW","11B","11","utsikten, utsikter, utsiktene","utsikt · utsikten · utsiktene · utsikter","NOUN","True","","","","Ordbank 词头匹配"
"utstilling","utstilling","名词","","en","NTNU LearnNoW","11C","11","utstillingen, utstillinger, utstillingene","utstilling · utstillinga · utstillingen · utstillingene · utstillinger","NOUN","True","","","","Ordbank 词头匹配"
"vakker","vakker","形容词","","","NTNU LearnNoW","11B","11","vakkert, vakre","vakker · vakkert · vakre · vakrere · vakrest · vakreste","ADJ","True","","","","Ordbank 词头匹配"
"ønske","ønske","动词","","å","NTNU LearnNoW; NorweigenLearn 当前词库","12C","12","ønsker – ønsket – har ønsket / ønsker, ønsket, har ønsket","ønsk · ønska · ønske · ønskede · ønskende · ønskene · ønsker · ønskes · ønsket · ønskete · ønskt · ønskte","VERB","True","希望；想要","Jeg ønsker meg en ny jobb.","我希望找到一份新工作。","Ordbank 词头匹配"
"akevitt","akevitt","名词","","en","NTNU LearnNoW","12C","12","akevitten, akevitter, akevittene","akevitt · akevitten · akevittene · akevitter","NOUN","True","","","","Ordbank 词头匹配"
"altfor","altfor","副词","","","NTNU LearnNoW","12B","12","","altfor","ADV","True","","","","Ordbank 词头匹配"
"barnebarn","barnebarn","名词","","et","NTNU LearnNoW","12B","12","barnebarnet, barnebarn, barnebarna","barnebarn · barnebarna · barnebarnene · barnebarnet","NOUN","True","","","","Ordbank 词头匹配"
"be","be","动词","","å","NTNU LearnNoW","12D","12","ber, ba, har bedt","ba · bad · be · bedt · bedte · beende · ber · bes","VERB","True","","","","Ordbank 词头匹配"
"besteforelder","besteforelder","名词","","en","NTNU LearnNoW","12B","12","besteforelderen, besteforeldre, besteforeldrene","besteforelder · besteforelderen · besteforeldra · besteforeldre · besteforeldrene","NOUN","True","","","","Ordbank 词头匹配"
"besteforelder","besteforeldre","名词","","","NTNU LearnNoW","12B","12","besteforeldrene","besteforelder · besteforelderen · besteforeldra · besteforeldre · besteforeldrene","NOUN","True","","","","常见屈折形式/透明构词人工归一；待复核"
"beundre","beundre","动词","","å","NTNU LearnNoW","12B","12","beundrer, beundret, har beundret","beundr · beundra · beundre · beundrede · beundrende · beundrer · beundres · beundret · beundrete","VERB","True","","","","Ordbank 词头匹配"
"bortskjemt","bortskjemt","形容词","","","NTNU LearnNoW","12B","12","bortskjemt, bortskjemte","bortskjemt · bortskjemte","ADJ","True","","","","Ordbank 词头匹配"
"byggesett","byggesett","名词","","et","NTNU LearnNoW","12D","12","byggesettet, byggesett, byggesettene","byggesett · byggesetta · byggesettene · byggesettet","NOUN","True","","","","Ordbank 词头匹配"
"dekorasjon","dekorasjon","名词","","en","NTNU LearnNoW","12C","12","dekorasjonen, dekorasjoner, dekorasjonene","dekorasjon · dekorasjonen · dekorasjonene · dekorasjoner","NOUN","True","","","","Ordbank 词头匹配"
"desember","desember","名词","","","NTNU LearnNoW","12A","12","","desember · desemberen · desemberene · desemberer","NOUN","True","","","","Ordbank 词头匹配"
"din","di","限定词","","","NTNU LearnNoW","12A","12","di, ditt, dine","di · din · dine · ditt","DET","True","","","","常见屈折形式/透明构词人工归一；待复核"
"do","do","名词","","en","NTNU LearnNoW","12C","12","doen, doer, doene","do · doa · doen · doene · doer · doet","NOUN","True","","","","Ordbank 词头匹配"
"dufte","dufte","动词","","å","NTNU LearnNoW","12C","12","dufter, duftet, har duftet","duft · dufta · dufte · duftede · duftende · dufter · duftes · duftet · duftete","VERB","True","","","","Ordbank 词头匹配"
"dunk","dunk","名词","","et","NTNU LearnNoW","12A","12","dunket, dunk, dunkene","dunk · dunka · dunken · dunkene · dunker · dunket","NOUN","True","","","","Ordbank 词头匹配"
"egen","egen","形容词","","","NTNU LearnNoW","12C","12","eget, egne","egen · egent · eget · egne · egnere · egnest · egneste","ADJ","True","","","","Ordbank 词头匹配"
"enig","enig","形容词","","","NTNU LearnNoW","12B","12","enig, enige","enig · enige · enigere · enigst · enigste","ADJ","True","","","","Ordbank 词头匹配"
"eske","eske","名词","","ei","NTNU LearnNoW","12D","12","eska, esker, eskene","esk · eska · eske · eskede · esken · eskende · eskene · esker · eskes · esket · eskete","NOUN","True","","","","Ordbank 词头匹配"
"forsyne","forsyne","动词","","å","NTNU LearnNoW","12C","12","forsyner, forsynte, har forsynt","forsyn · forsyne · forsynende · forsyner · forsynes · forsynt · forsynte","VERB","True","","","","Ordbank 词头匹配"
"fort","fortere","形容词","","","NTNU LearnNoW","12A","12","","fort · forta · forte · fortene · forter · fortere · fortest · forteste · fortet","ADJ","True","","","","按 Ordbank 屈折形式归回词头"
"fotografere","fotografere","动词","","å","NTNU LearnNoW","12A","12","fotograferer, fotograferte, har fotografert","fotografer · fotografere · fotograferende · fotograferer · fotograferes · fotografert · fotograferte","VERB","True","","","","Ordbank 词头匹配"
"glitter","glitter","名词","","et","NTNU LearnNoW","12C","12","glitteret","glitre · glitrene · glitter · glittera · glitteret","NOUN","True","","","","Ordbank 词头匹配"
"hage","hage","名词","","en","NTNU LearnNoW","12A","12","hagen, hager, hagene","hag · haga · hage · hagede · hagen · hagende · hagene · hager · hages · haget · hagete","NOUN","True","","","","Ordbank 词头匹配"
"herlig","herlig","形容词","","","NTNU LearnNoW","12C","12","herlig, herlige","herlig · herlige · herligere · herligst · herligste","ADJ","True","","","","Ordbank 词头匹配"
"juleblomst","juleblomst","名词","","en","NTNU LearnNoW","12C","12","juleblomsten, juleblomster, juleblomstene","","","False","","","","存在多个可能词头；需人工消歧"
"julegaveåpning","julegaveåpning","名词","","ei","NTNU LearnNoW","12D","12","julegaveåpninga, julegaveåpninger, julegaveåpningene","","","False","","","","存在多个可能词头；需人工消歧"
"julepynt","julepynt","名词","","en","NTNU LearnNoW","12C","12","julepynten, julepynter, julepyntene","julepynt · julepynten · julepyntene · julepynter","NOUN","True","","","","Ordbank 词头匹配"
"karamellpudding","karamellpudding","名词","","en","NTNU LearnNoW","12C","12","karamellpuddingen, karamellpuddinger, karamellpuddingene","karamellpudding · karamellpuddingen · karamellpuddingene · karamellpuddinger","NOUN","True","","","","Ordbank 词头匹配"
"kinn","kinn","名词","","et","NTNU LearnNoW","12B","12","kinnet, kinn, kinnene","kinn · kinna · kinnene · kinner · kinnet","NOUN","True","","","","Ordbank 词头匹配"
"kle","kle","动词","","å","NTNU LearnNoW","12A","12","kler, kledde, har kledd","kle · kledd · kledde · kleende · kler · kles","VERB","True","","","","Ordbank 词头匹配"
"lov","lov","名词","","en","NTNU LearnNoW","12D","12","loven, lover, lovene","lov · loven · lovene · lover","NOUN","True","","","","Ordbank 词头匹配"
"lutefisk","lutefisk","名词","","en","NTNU LearnNoW","12C","12","lutefisken, lutefisker, lutefiskene","lutefisk · lutefisken · lutefiskene · lutefisker","NOUN","True","","","","Ordbank 词头匹配"
"man","man","名词","","","NTNU LearnNoW","12C","12","","man · mana · manen · manene · maner","NOUN; PRON","True","","","","Ordbank 词头匹配"
"masse","masse","名词","","","NTNU LearnNoW","12C","12","","masse · massen · massene · masser","NOUN","True","","","","Ordbank 词头匹配"
"matrett","matrett","名词","","en","NTNU LearnNoW","12C","12","matretten, matretter, matrettene","matrett · matretten · matrettene · matretter","NOUN","True","","","","Ordbank 词头匹配"
"merkelig","merkelig","形容词","","","NTNU LearnNoW","12C","12","merkelig, merkelige","merkelig · merkelige · merkeligere · merkeligst · merkeligste","ADJ","True","","","","Ordbank 词头匹配"
"minst","minst","形容词","","","NTNU LearnNoW","12C","12","","minst · minste","ADJ","True","","","","Ordbank 词头匹配"
"nærmere","nærmere","形容词","","","NTNU LearnNoW","12D","12","","nærmere","ADJ","True","","","","Ordbank 词头匹配"
"nisse","nisse","名词","","en","NTNU LearnNoW","12C","12","nissen, nisser, nissene","niss · nissa · nisse · nissede · nissen · nissende · nissene · nisser · nisses · nisset · nissete","NOUN","True","","","","Ordbank 词头匹配"
"nysnø","nysnø","名词","","en","NTNU LearnNoW","12A","12","nysnøen","nysnø · nysnøen · nysnøene · nysnøer","NOUN","True","","","","Ordbank 词头匹配"
"øl","øl","名词","","et","NTNU LearnNoW","12C","12","ølet, øl, ølene","øl · øla · ølen · ølene · øler · ølet","NOUN","True","","","","Ordbank 词头匹配"
"onkel","onkel","名词","","en","NTNU LearnNoW","12D","12","onkelen, onkler, onklene","onkel · onkelen · onklene · onkler","NOUN","True","","","","Ordbank 词头匹配"
"oppå","oppå","介词","","","NTNU LearnNoW","12A","12","","oppå","ADP","True","","","","Ordbank 词头匹配"
"overalt","overalt","副词","","","NTNU LearnNoW","12C","12","","overalt","ADV","True","","","","Ordbank 词头匹配"
"overraskelse","overraskelse","名词","","en","NTNU LearnNoW","12C","12","overraskelsen, overraskelser, overraskelsene","overraskelse · overraskelsen · overraskelsene · overraskelser","NOUN","True","","","","Ordbank 词头匹配"
"pakkesjef","pakkesjef","名词","","en","NTNU LearnNoW","12D","12","pakkesjefen, pakkesjefer, pakkesjefene","","","False","","","","存在多个可能词头；需人工消歧"
"papir","papir","名词","","et","NTNU LearnNoW","12D","12","papiret, papirer, papirene","papir · papira · papirene · papirer · papiret","NOUN","True","","","","Ordbank 词头匹配"
